350010 ADAMANTINA;-;-;1047;9;1;1057
350020 ADOLFO;-;4;6;1;-;11
350030 AGUAI;-;171;1978;4;-;2153
350040 AGUAS DA PRATA;-;-;27;-;-;27
350050 AGUAS DE LINDOIA;-;-;3;1;-;4
350060 AGUAS DE SAO PEDRO;-;2;19;-;-;21
350070 AGUDOS;2;12;26;-;-;40
350075 ALAMBARI;-;3;-;-;-;3
350080 ALFREDO MARCONDES;-;-;168;-;-;168
350090 ALTAIR;-;1;1;-;-;2
350100 ALTINOPOLIS;-;4;23;-;-;27
350110 ALTO ALEGRE;-;2;30;-;-;32
350115 ALUMINIO;-;-;8;-;-;8
350120 ALVARES FLORENCE;-;26;61;-;-;87
350130 ALVARES MACHADO;-;-;430;2;-;432
350140 ALVARO DE CARVALHO;-;-;14;-;-;14
350150 ALVINLANDIA;-;3;24;-;-;27
350160 AMERICANA;-;30;698;-;-;728
350170 AMERICO BRASILIENSE;1;14;18;-;-;33
350180 AMERICO DE CAMPOS;-;-;285;1;2;288
350190 AMPARO;1;9;58;-;-;68
350200 ANALANDIA;-;3;18;-;-;21
350210 ANDRADINA;-;-;1130;6;3;1139
350220 ANGATUBA;-;6;2;-;-;8
350230 ANHEMBI;-;-;4;-;-;4
350240 ANHUMAS;-;-;7;-;-;7
350250 APARECIDA;-;10;699;-;1;710
350260 APARECIDA D'OESTE;-;2;22;-;-;24
350275 ARACARIGUAMA;-;-;1;-;1;2
350280 ARACATUBA;-;28;2400;2;-;2430
350290 ARACOIABA DA SERRA;1;2;38;-;-;41
350300 ARAMINA;-;1;9;-;-;10
350315 ARAPEI;-;1;4;-;-;5
350320 ARARAQUARA;-;-;233;1;-;234
350330 ARARAS;-;3;893;-;1;897
350335 ARCO-IRIS;-;-;39;1;-;40
350340 AREALVA;-;-;8;-;-;8
350350 AREIAS;-;3;19;-;-;22
350360 AREIOPOLIS;-;-;1;-;-;1
350370 ARIRANHA;-;9;353;1;-;363
350380 ARTUR NOGUEIRA;-;51;100;1;-;152
350390 ARUJA;4;46;15;-;-;65
350395 ASPASIA;-;1;10;-;-;11
350400 ASSIS;-;2;933;11;1;947
350410 ATIBAIA;-;2;184;-;-;186
350420 AURIFLAMA;-;19;160;-;-;179
350430 AVAI;-;1;5;-;-;6
350440 AVANHANDAVA;-;6;50;1;-;57
350450 AVARE;-;-;16;-;-;16
350460 BADY BASSITT;-;125;50;12;-;187
350480 BALSAMO;-;-;13;1;-;14
350490 BANANAL;-;-;3;-;-;3
350500 BARAO DE ANTONINA;-;-;13;-;-;13
350510 BARBOSA;-;11;21;-;1;33
350520 BARIRI;-;-;98;-;1;99
350530 BARRA BONITA;-;-;12;-;-;12
350535 BARRA DO CHAPEU;-;-;1;-;-;1
350540 BARRA DO TURVO;-;16;147;-;-;163
350550 BARRETOS;-;-;55;-;-;55
350560 BARRINHA;7;516;118;-;-;641
350570 BARUERI;-;-;40;-;-;40
350580 BASTOS;-;-;759;4;3;766
350590 BATATAIS;-;6;32;1;-;39
350600 BAURU;-;-;811;8;1;820
350610 BEBEDOURO;-;-;319;-;-;319
350620 BENTO DE ABREU;-;1;43;-;-;44
350630 BERNARDINO DE CAMPOS;-;2;10;-;-;12
350635 BERTIOGA;-;1;57;-;-;58
350640 BILAC;-;7;56;-;-;63
350650 BIRIGUI;-;1;623;6;-;630
350660 BIRITIBA-MIRIM;-;5;1;-;-;6
350670 BOA ESPERANCA DO SUL;-;1;51;-;-;52
350680 BOCAINA;-;8;40;-;-;48
350700 BOITUVA;-;-;77;-;-;77
350710 BOM JESUS DOS PERDOES;-;11;3;-;-;14
350720 BORA;-;16;3;-;-;19
350730 BORACEIA;-;-;2;-;-;2
350740 BORBOREMA;-;3;138;-;-;141
350745 BOREBI;-;3;2;-;-;5
350750 BOTUCATU;-;-;43;-;-;43
350760 BRAGANCA PAULISTA;-;1;189;6;-;196
