350010 ADAMANTINA;-;-;3311;37;10;3358
350020 ADOLFO;-;1;18;-;-;19
350030 AGUAI;-;1;10;1;-;12
350040 AGUAS DA PRATA;-;1;10;-;-;11
350050 AGUAS DE LINDOIA;-;1;4;-;-;5
350055 AGUAS DE SANTA BARBARA;-;-;8;-;-;8
350060 AGUAS DE SAO PEDRO;-;-;1;-;-;1
350070 AGUDOS;2;-;2773;18;4;2797
350075 ALAMBARI;-;1;1;-;-;2
350080 ALFREDO MARCONDES;-;-;574;-;1;575
350090 ALTAIR;-;2;11;-;-;13
350100 ALTINOPOLIS;-;3;49;-;-;52
350110 ALTO ALEGRE;-;-;13;-;-;13
350115 ALUMINIO;1;-;14;-;-;15
350120 ALVARES FLORENCE;-;2;25;-;1;28
350130 ALVARES MACHADO;-;-;2117;4;3;2124
350140 ALVARO DE CARVALHO;-;-;121;-;-;121
350150 ALVINLANDIA;-;2;119;2;-;123
350160 AMERICANA;-;105;571;1;1;678
350170 AMERICO BRASILIENSE;3;105;348;-;-;456
350180 AMERICO DE CAMPOS;-;1;5;-;-;6
350190 AMPARO;-;43;546;-;-;589
350200 ANALANDIA;-;1;8;1;-;10
350210 ANDRADINA;-;-;3115;12;1;3128
350220 ANGATUBA;-;-;15;-;-;15
350230 ANHEMBI;-;-;113;7;-;120
350240 ANHUMAS;-;-;202;1;1;204
350250 APARECIDA;-;-;298;-;-;298
350260 APARECIDA D'OESTE;-;3;27;-;-;30
350270 APIAI;-;-;1;-;-;1
350275 ARACARIGUAMA;-;1;124;-;-;125
350280 ARACATUBA;-;1;982;10;4;997
350290 ARACOIABA DA SERRA;-;-;61;1;-;62
350300 ARAMINA;-;4;4;-;-;8
350310 ARANDU;-;-;81;-;-;81
350320 ARARAQUARA;-;-;788;8;1;797
350330 ARARAS;-;4;60;-;-;64
350335 ARCO-IRIS;-;-;201;12;-;213
350340 AREALVA;-;1;375;4;2;382
350350 AREIAS;-;10;5;-;-;15
350360 AREIOPOLIS;-;-;34;1;-;35
350370 ARIRANHA;-;13;64;-;-;77
350380 ARTUR NOGUEIRA;2;44;52;-;-;98
350390 ARUJA;1;19;93;1;-;114
350395 ASPASIA;-;3;27;-;-;30
350400 ASSIS;-;58;3539;1;1;3599
350410 ATIBAIA;1;1;654;3;-;659
350420 AURIFLAMA;-;6;17;-;-;23
350430 AVAI;-;1;19;-;-;20
350440 AVANHANDAVA;-;4;46;1;-;51
350450 AVARE;-;-;335;3;-;338
350460 BADY BASSITT;-;1;224;15;2;242
350470 BALBINOS;-;-;157;5;-;162
350480 BALSAMO;-;-;16;1;-;17
350490 BANANAL;-;-;2;-;-;2
350500 BARAO DE ANTONINA;-;-;297;-;2;299
350510 BARBOSA;-;78;87;-;-;165
350520 BARIRI;-;23;259;3;-;285
350530 BARRA BONITA;1;-;178;-;-;179
350535 BARRA DO CHAPEU;-;1;1;-;-;2
350550 BARRETOS;-;5;834;13;-;852
350560 BARRINHA;2;67;254;-;-;323
350570 BARUERI;-;5;164;1;-;170
350580 BASTOS;-;-;1682;8;1;1691
350590 BATATAIS;1;12;769;4;-;786
350600 BAURU;-;1;14152;197;17;14367
350610 BEBEDOURO;-;-;337;3;2;342
350620 BENTO DE ABREU;-;4;38;-;-;42
350630 BERNARDINO DE CAMPOS;-;1;38;1;-;40
350635 BERTIOGA;3;50;1371;-;-;1424
350640 BILAC;-;1;9;-;-;10
350650 BIRIGUI;-;-;1774;1;1;1776
350660 BIRITIBA-MIRIM;-;4;9;-;-;13
350670 BOA ESPERANCA DO SUL;-;-;1740;1;-;1741
350680 BOCAINA;-;1;12;1;-;14
350690 BOFETE;-;-;7;1;-;8
350700 BOITUVA;-;1;147;1;-;149
350710 BOM JESUS DOS PERDOES;-;35;5;-;-;40
350720 BORA;-;5;21;-;-;26
350730 BORACEIA;-;10;149;1;-;160
350740 BORBOREMA;-;-;737;10;-;747
350745 BOREBI;-;1;67;-;-;68
350750 BOTUCATU;-;-;406;19;1;426
350760 BRAGANCA PAULISTA;-;1;182;-;-;183
350770 BRAUNA;1;5;172;-;-;178
350775 BREJO ALEGRE;-;16;28;1;1;46
350780 BRODOWSKI;3;20;764;15;1;803
350790 BROTAS;1;43;30;-;-;74
350800 BURI;-;-;28;-;-;28
350810 BURITAMA;-;-;12;-;-;12
350820 BURITIZAL;-;2;118;-;-;120
350830 CABRALIA PAULISTA;-;-;8;-;-;8
350840 CABREUVA;-;10;141;-;-;151
350850 CACAPAVA;-;88;274;-;-;362
350860 CACHOEIRA PAULISTA;-;-;25;-;-;25
350870 CACONDE;-;-;16;-;-;16
350880 CAFELANDIA;-;-;166;5;-;171
350890 CAIABU;-;-;89;-;-;89
350900 CAIEIRAS;-;-;41;-;-;41
350910 CAIUA;-;2;119;2;-;123
350920 CAJAMAR;-;-;64;-;-;64
350925 CAJATI;-;1;8;-;-;9
350930 CAJOBI;1;21;519;5;1;547
350940 CAJURU;-;28;4;-;-;32
