351050 CARAGUATATUBA;2;111;223;-;-;336
351060 CARAPICUIBA;-;1;151;1;-;153
351070 CARDOSO;-;2;221;-;1;224
351080 CASA BRANCA;-;5;5;-;-;10
351090 CASSIA DOS COQUEIROS;-;2;16;-;-;18
351100 CASTILHO;-;14;559;7;-;580
351110 CATANDUVA;-;-;3670;48;6;3724
351120 CATIGUA;13;72;258;3;-;346
351130 CEDRAL;-;-;829;14;2;845
351140 CERQUEIRA CESAR;-;-;12;-;-;12
351150 CERQUILHO;1;6;247;-;-;254
351160 CESARIO LANGE;-;7;177;-;-;184
351170 CHARQUEADA;1;21;556;3;-;581
351190 CLEMENTINA;-;16;246;-;-;262
351200 COLINA;1;7;158;5;1;172
351210 COLOMBIA;-;1;214;-;-;215
351220 CONCHAL;-;9;34;-;-;43
351230 CONCHAS;-;-;2;-;-;2
351240 CORDEIROPOLIS;-;-;275;1;-;276
351250 COROADOS;-;24;475;-;-;499
351270 CORUMBATAI;-;2;19;-;1;22
351280 COSMOPOLIS;1;45;501;12;-;559
351290 COSMORAMA;-;96;229;1;-;326
351300 COTIA;-;11;259;-;-;270
351310 CRAVINHOS;22;632;49;2;-;705
351320 CRISTAIS PAULISTA;1;5;56;4;-;66
351330 CRUZALIA;-;2;23;3;-;28
351340 CRUZEIRO;-;9;14;-;-;23
351350 CUBATAO;-;1;46;-;-;47
351360 CUNHA;-;2;1;-;-;3
351370 DESCALVADO;-;3;848;-;-;851
351380 DIADEMA;2;179;176;2;-;359
351385 DIRCE REIS;-;9;241;1;-;251
351390 DIVINOLANDIA;-;-;11;-;-;11
351400 DOBRADA;1;14;271;-;-;286
351410 DOIS CORREGOS;1;9;62;-;-;72
351420 DOLCINOPOLIS;-;29;220;1;-;250
351430 DOURADO;-;20;218;-;-;238
351440 DRACENA;-;4;1757;13;-;1774
351450 DUARTINA;-;-;671;-;-;671
351460 DUMONT;-;16;207;3;-;226
351470 ECHAPORA;-;1;30;-;-;31
351490 ELIAS FAUSTO;-;1;11;-;-;12
351492 ELISIARIO;1;80;180;3;-;264
351495 EMBAUBA;2;19;252;1;-;274
351500 EMBU DAS ARTES;-;61;55;1;-;117
351510 EMBU-GUACU;-;3;7;-;-;10
351512 EMILIANOPOLIS;-;-;20;-;-;20
351515 ENGENHEIRO COELHO;-;6;42;-;-;48
351518 ESPIRITO SANTO DO PINHAL;-;-;679;2;1;682
351519 ESPIRITO SANTO DO TURVO;-;60;192;-;-;252
351520 ESTRELA D'OESTE;-;12;366;4;-;382
351530 ESTRELA DO NORTE;-;-;37;-;-;37
351535 EUCLIDES DA CUNHA PAULISTA;-;100;654;-;-;754
351540 FARTURA;-;-;77;-;-;77
351550 FERNANDOPOLIS;-;79;911;3;1;994
351560 FERNANDO PRESTES;1;23;66;3;-;93
351565 FERNAO;-;-;24;-;-;24
351570 FERRAZ DE VASCONCELOS;5;212;192;5;-;414
351590 FLOREAL;-;1;299;-;-;300
351600 FLORIDA PAULISTA;-;-;226;3;-;229
351610 FLORINIA;-;3;8;-;-;11
351620 FRANCA;4;65;6779;319;7;7174
351630 FRANCISCO MORATO;1;129;51;-;-;181
351640 FRANCO DA ROCHA;-;73;90;-;-;163
351650 GABRIEL MONTEIRO;-;1;475;3;-;479
351660 GALIA;-;-;305;1;-;306
351670 GARCA;5;7;8012;45;7;8076
351680 GASTAO VIDIGAL;3;52;288;8;1;352
351685 GAVIAO PEIXOTO;1;37;263;1;1;303
351690 GENERAL SALGADO;-;128;1199;4;2;1333
351700 GETULINA;-;3;33;-;-;36
351710 GLICERIO;-;1;334;-;-;335
351720 GUAICARA;-;7;94;1;-;102
351730 GUAIMBE;-;5;125;1;-;131
351740 GUAIRA;-;2;454;-;-;456
351750 GUAPIACU;-;21;560;34;1;616
351760 GUAPIARA;-;-;1;-;-;1
351770 GUARA;-;2;6;-;-;8
351780 GUARACAI;-;144;1348;1;-;1493
351790 GUARACI;-;8;152;1;1;162
351800 GUARANI D'OESTE;-;5;41;-;-;46
351810 GUARANTA;-;5;18;-;-;23
351820 GUARARAPES;-;12;782;26;-;820
351830 GUARAREMA;9;238;15;-;-;262
351840 GUARATINGUETA;-;-;50;-;-;50
351850 GUAREI;-;-;4;-;-;4
351860 GUARIBA;3;133;1068;2;1;1207
351870 GUARUJA;-;96;79;-;1;176
351880 GUARULHOS;-;-;1053;9;4;1066
351885 GUATAPARA;3;111;53;-;-;167
351890 GUZOLANDIA;-;5;83;1;-;89
351900 HERCULANDIA;-;-;241;2;-;243
351905 HOLAMBRA;-;10;136;-;-;146
351907 HORTOLANDIA;-;-;1132;10;1;1143
351910 IACANGA;-;7;179;-;-;186
351920 IACRI;-;-;349;2;-;351
351925 IARAS;-;-;252;-;-;252
351930 IBATE;-;24;1382;1;-;1407
351940 IBIRA;-;-;833;7;1;841
351950 IBIRAREMA;-;12;2;-;-;14
351960 IBITINGA;-;17;500;1;-;518
351970 IBIUNA;1;5;7;2;-;15
351980 ICEM;-;23;170;5;-;198
351990 IEPE;-;-;111;4;2;117
352000 IGARACU DO TIETE;-;1;44;-;-;45
352010 IGARAPAVA;-;7;70;-;-;77
352020 IGARATA;-;1;5;-;-;6
352030 IGUAPE;-;1;8;-;-;9
352040 ILHABELA;1;43;481;-;-;525
352042 ILHA COMPRIDA;-;2;4;-;-;6
