24,4,11,7,Guareí
210,1207,51,48,Guariba
1495,176,2209,399,Guarujá
1860,1066,1025,285,Guarulhos
332,167,35,80,Guatapará
53,89,26,12,Guzolândia
549,243,114,493,Herculândia
39,146,101,23,Holambra
1131,1143,511,1067,Hortolândia
319,186,3,22,Iacanga
416,351,27,218,Iacri
3,252,31,7,Iaras
179,1407,5,26,Ibaté
78,841,21,622,Ibirá
317,14,62,26,Ibirarema
1317,518,90,77,Ibitinga
19,15,15,17,Ibiúna
66,198,156,16,Icém
1828,117,5,294,Iepê
160,45,5,10,Igaraçu do Tietê
377,77,4,37,Igarapava
3,6,6,5,Igaratá
35,9,19,45,Iguape
333,525,947,379,Ilhabela
126,6,2,32,Ilha Comprida
266,65,589,208,Ilha Solteira
800,1551,102,267,Indaiatuba
594,238,4,74,Indiana
18,12,474,165,Indiaporã
298,268,1,370,Inúbia Paulista
198,29,21,19,Ipaussu
31,28,447,1439,Iperó
34,53,18,101,Ipeúna
26,45,287,88,Ipiguá
1,,1,93,Iporanga
63,93,3,7,Ipuã
20,87,459,128,Iracemápolis
194,54,22,111,Irapuã
522,152,263,40,Irapuru
9,8,22,1,Itaberá
38,4,159,23,Itaí
68,1257,103,182,Itajobi
94,18,2,8,Itaju
172,98,989,111,Itanhaém
1,1,,,Itaoca
51,46,86,17,Itapecerica da Serra
570,69,1633,35,Itapetininga
16,639,379,66,Itapeva
38,65,17,16,Itapevi
153,124,9,38,Itapira
,1,1,,Itapirapuã Paulista
4472,293,147,1670,Itápolis
12,473,156,13,Itaporanga
16,148,3,21,Itapuí
27,33,65,22,Itapura
196,365,144,43,Itaquaquecetuba
458,67,532,38,Itararé
11,4,8,277,Itariri
89,263,75,32,Itatiba
24,4,1,5,Itatinga
5,82,11,25,Itirapina
18,267,,3,Itirapuã
5,16,10,191,Itobi
1273,504,403,104,Itu
118,171,822,13,Itupeva
1052,529,12,17,Ituverava
223,98,6,11,Jaborandi
2712,555,257,1671,Jaboticabal
1447,719,133,416,Jacareí
136,278,135,23,Jaci
15,4,7,111,Jacupiranga
177,473,22,39,Jaguariúna
134,2761,639,791,Jales
6,4,9,9,Jambeiro
86,27,7,31,Jandira
398,124,20,145,Jardinópolis
128,120,7,10,Jarinu
963,727,77,219,Jaú
72,51,5,6,Jeriquara
13,11,1,8,Joanópolis
260,98,4,113,João Ramalho
53,2762,116,82,José Bonifácio
487,153,9,202,Júlio Mesquita
23,2,16,1,Jumirim
1140,672,499,112,Jundiaí
984,1442,389,425,Junqueirópolis
6,,44,111,Juquiá
10,197,4,2,Juquitiba
9,19,1,5,Lagoinha
2713,69,227,118,Laranjal Paulista
205,112,29,71,Lavínia
11,5,1,447,Lavrinhas
72,87,58,336,Leme
851,145,87,19,Lençóis Paulista
562,618,378,1647,Limeira
7,175,19,9,Lindóia
4096,2028,519,1312,Lins
109,25,44,4982,Lorena
11,125,21,145,Lourdes
208,125,25,36,Louveira
987,212,14,776,Lucélia
1,51,12,2,Lucianópolis
146,718,37,425,Luís Antônio
28,391,8,176,Luiziânia
112,34,73,1,Lupércio
75,356,25,10,Lutécia
84,76,62,9,Macatuba
5,100,667,50,Macaubal
122,80,96,23,Macedônia
5,156,19,17,Magda
30,10,5,22,Mairinque
32,42,18,10,Mairiporã
14,5,,,Manduri
61,294,11,37,Marabá Paulista
246,23,11,379,Maracaí
303,51,50,22,Marapoama
564,145,2,235,Mariápolis
3273,1057,2917,1601,Marília
53,203,12,2,Marinópolis
430,1513,104,1173,Martinópolis
1111,2678,12,26,Matão
86,88,62,37,Mauá
22,513,31,17,Mendonça
44,131,313,235,Meridiano
1,64,184,122,Mesópolis
99,10,,15,Miguelópolis
98,68,23,18,Mineiros do Tietê
13,40,174,30,Miracatu
47,153,142,95,Mira Estrela
3014,625,595,1225,Mirandópolis
1153,167,49,209,Mirante do Paranapanema
163,1361,372,92,Mirassol
23,29,144,22,Mirassolândia
180,27,9,2657,Mococa
65,100,99,48,Mogi das Cruzes
729,2408,97,1822,Mogi Guaçu
135,238,73,2674,Mogi Mirim
95,6,115,,Mombuca
4,254,73,45,Monções
39,23,496,79,Mongaguá
