"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat","sample_mean"
"W_pred[8,1,1]",5.91338925036067,0.245944025927672,14.9392638853007,3.20360092893763e-13,0.0395721604454952,0.658895810543233,4.70863540173183,46.5094990711767,3689.65569769332,0.999847181479403,0.21777224037383
"W_pred[8,1,2]",2.4828062029362,0.0717652196469873,4.30996149640824,0.000790635128799597,0.138804600617052,0.770886820445784,2.8502894905597,15.1910789149261,3606.77245162782,0.999577296072031,0.577465523353031
"W_pred[8,1,3]",1.73811492862557,0.0577442233951248,3.21321151832085,1.53417149806411e-12,0.0412669638695001,0.454593283702236,1.94836778367837,11.2466829341113,3096.43195320231,1.00018416598725,0.123782326056576
"W_pred[8,1,4]",28.8738650849756,0.169509425627381,10.7002367655175,11.7780148587698,21.0710346515416,27.7688428434705,35.2803365763828,52.9730343218722,3984.73156761335,1.00015321264875,33.1451572254817
"W_pred[8,2,1]",0.345489764355352,0.0145244087077236,0.877353881625552,2.06212261604166e-14,0.00229918778320506,0.038482421976041,0.28274272642876,2.66513485641868,3648.82202999499,0.999804547779372,1.08634306610874
"W_pred[8,2,2]",0.145499599233762,0.00421070851412876,0.254526870195075,4.89666889815285e-05,0.0078493809984115,0.0447202398525615,0.16704968965228,0.889437426505343,3653.90218815681,0.999646447652738,0.217950860979385
"W_pred[8,2,3]",0.102231527351568,0.00336859779366694,0.189047672674941,9.42770081255045e-14,0.00234955832175104,0.0260479257191196,0.112968713512356,0.655099491843536,3149.51985631304,1.00014614131472,0.118430779657941
"W_pred[8,2,4]",1.69281326331169,0.0101849846473059,0.661057839864863,0.670015684430353,1.2117684607152,1.60963045699259,2.0731981816664,3.19704201041149,4212.6770127673,1.0004930876476,1.74622402555987
"W_pred[8,3,1]",2.26154692719627,0.0945855049039643,5.72749146274502,1.29227117503557e-13,0.0150910604851795,0.247082623562747,1.82156421779729,17.6767884324466,3666.73672264474,0.999880981088403,0.342804685826066
"W_pred[8,3,2]",0.945532407056505,0.0271411175051983,1.63975926890195,0.000303967511908898,0.0527636954746171,0.293940820405604,1.11348354504613,5.72940817509405,3650.09979501641,0.999576020257285,1.85992757810471
"W_pred[8,3,3]",0.662197314971987,0.0221756925656092,1.2258915677655,5.71279245863663e-13,0.0155112876440488,0.175029125277189,0.736221109452089,4.17609331037319,3055.97453753179,1.00018889098219,0.000573024229961483
"W_pred[8,3,4]",11.0107419916043,0.0657522890834432,4.11969451586455,4.46279139244419,7.99332767758807,10.5253988935139,13.4698995323472,20.1199059142678,3925.62013965744,1.00020261167346,10.4697724731089
"W_pred[8,4,1]",0.0409089725778191,0.00190917899308925,0.118759947035564,2.14094078676419e-15,0.000237830688311891,0.00435112901948779,0.0313855736244318,0.324719191274079,3869.42734279863,1.00022467416675,3.33882805418015e-12
"W_pred[8,4,2]",0.0171512440901305,0.000539511588407812,0.0320166729507648,4.98284331682419e-06,0.000835377705873291,0.00504834505913376,0.0184974097188405,0.110822409215968,3521.68773152687,0.999566994674194,0.000544478357941558
"W_pred[8,4,3]",0.012028981096222,0.000408903088167873,0.0235713109220049,8.53078734151235e-15,0.000266557414802409,0.00278509344404119,0.0125609393263813,0.0812436799348457,3322.97207846797,1.0001314148491,0.0104421506941312
"W_pred[8,4,4]",0.201699548283978,0.0016953738492593,0.107498515546642,0.0486909211932239,0.124577680149656,0.182390353738203,0.256653015109825,0.460151606715305,4020.44360132185,0.999836047354314,0.229008332561851
"W_pred[8,5,1]",0.0380813518690843,0.00175096606679489,0.10591848173603,1.06676153251782e-15,0.000219143699565842,0.00368998593795335,0.0270288611933266,0.294781530786674,3659.21590000231,0.999860040849312,0.0199615043892756
"W_pred[8,5,2]",0.015420332630082,0.00048263345788194,0.0292071534714036,4.26847421365674e-06,0.000775295217531348,0.00432639165737431,0.0164248038246434,0.097792757513626,3662.21312254333,0.999769172521064,0.0650820093114066
"W_pred[8,5,3]",0.0108469981270076,0.00041305420613585,0.0228446298649106,2.48134107277218e-15,0.000232854948857481,0.00259082171206795,0.0115455148565098,0.0662831850124786,3058.82163919897,1.00010943906082,0.0546244827083596
"W_pred[8,5,4]",0.181145351190001,0.00154240999602216,0.100144916507219,0.0433968247166276,0.109443142647333,0.162621405890011,0.232082618984521,0.433137405415425,4215.58795880832,1.00003612509303,0.2568278926059
"W_pred[8,6,1]",0.0885885287371747,0.00376225992203046,0.230054130766821,4.58450266269072e-15,0.000574851810878208,0.00977338126074968,0.0702196453831934,0.679091267695654,3739.06038506119,0.999712705409951,0.511562304999538
"W_pred[8,6,2]",0.037921945763798,0.0011270226782117,0.0693706937455784,1.17884553364311e-05,0.00200167890073892,0.0112000438480152,0.0416518464460322,0.233349691354676,3788.66987883415,0.999549590782564,0.0390283814903422
"W_pred[8,6,3]",0.0262805206506542,0.000924419384778808,0.0503369289002654,1.80432709217191e-14,0.000596457527855585,0.00657306042846224,0.0287616608159267,0.168254273554444,2965.07267699042,1.0001662491598,0.0125260475101625
"W_pred[8,6,4]",0.438376721888978,0.00319727445237094,0.197503590672265,0.147182538601337,0.296312220393083,0.404149841479139,0.549674842442097,0.905107738737559,3815.84000053861,1.00014873808134,0.247911928968286
"W_pred[8,7,1]",0.0607320790866681,0.00266828612431034,0.160885867469193,4.11048380711627e-15,0.000379155457709175,0.00655362470408286,0.046461628614021,0.48292876414002,3635.5573289976,0.999786706414353,0.00351006845934516
"W_pred[8,7,2]",0.0252286092647996,0.00075468131374508,0.0455721883936536,7.50574120712631e-06,0.00130402443273393,0.00753145502187306,0.0287676021208993,0.155829910797567,3646.46940917357,0.999560074964767,0.0822422431886007
"W_pred[8,7,3]",0.0175967484304975,0.00061601050090661,0.0343429825608615,1.38093757361703e-14,0.000378160965348515,0.00438030255786973,0.01958402249414,0.115983686851263,3108.13438326161,1.00016598189811,4.02564805013877e-06
"W_pred[8,7,4]",0.292787618683116,0.00219544348419765,0.140311477996318,0.0908571806466866,0.191904473904274,0.269793526186245,0.368975931522728,0.634229465965749,4084.52797661172,1.00044090714471,0.418174885249646
"W_pred[8,8,1]",3.18674286047637,0.13214696826688,8.03351457157505,1.76481007082519e-13,0.0215139544024009,0.355231168869156,2.52768821876976,24.5875549479356,3695.70045703334,0.999840379171606,4.57701420292506e-11
"W_pred[8,8,2]",1.33965359836269,0.0387372838053603,2.33260631740872,0.000432620035988355,0.073958467584735,0.417534732285956,1.54334739319552,8.19298214370534,3625.97298514234,0.999599828162992,1.24807563847246
"W_pred[8,8,3]",0.939110271547838,0.0314060250841628,1.74117637452177,7.88034735563348e-13,0.0221748563302991,0.245048658334997,1.05260306124217,5.94910291841107,3073.68660854912,1.00014259959752,0.862090712066611
"W_pred[8,8,4]",15.5745985209113,0.0925066464913296,5.80046892998499,6.32638252282285,11.3725774797869,15.0108286830604,18.8826834434345,28.7255675026062,3931.69965961851,1.00039756571275,16.3599981786355
"W_pred[8,9,1]",0.124587550429571,0.00533303951133756,0.319939091181862,6.00376827532874e-15,0.000779931350825184,0.0139030802835185,0.096891868714045,1.0042557965865,3599.02622349459,1.00002761860615,0.227518748951535
