Accession ID	Collection date	Submission date	Location
EPI_ISL_17673385	1990	2003-05-27	South America / Brazil / Sao Paulo / Sao Jose do Rio Preto
EPI_ISL_17673386	1990	2003-05-27	South America / Brazil / Sao Paulo / Sao Jose do Rio Preto
EPI_ISL_17673387	1990	2003-05-27	South America / Brazil / Sao Paulo / Sao Jose do Rio Preto
EPI_ISL_17673388	1990	2003-05-27	South America / Brazil / Sao Paulo / Sao Jose do Rio Preto
EPI_ISL_17673389	1990	2003-05-27	South America / Brazil / Sao Paulo / Sao Jose do Rio Preto
EPI_ISL_17673390	1990	2003-05-27	South America / Brazil / Sao Paulo / Sao Jose do Rio Preto
EPI_ISL_17673391	1990	2003-05-27	South America / Brazil / Sao Paulo / Sao Jose do Rio Preto
EPI_ISL_17673392	1990	2003-05-27	South America / Brazil / Sao Paulo / Sao Jose do Rio Preto
EPI_ISL_17673393	1990	2003-05-27	South America / Brazil / Sao Paulo / Sao Jose do Rio Preto
EPI_ISL_17673394	1990	2003-05-27	South America / Brazil / Sao Paulo / Sao Jose do Rio Preto
EPI_ISL_17673395	1990	2003-05-27	South America / Brazil / Sao Paulo / Sao Jose do Rio Preto
EPI_ISL_17673396	1990	2003-05-27	South America / Brazil / Sao Paulo / Ribeirao Preto
EPI_ISL_17673397	1990	2003-05-27	South America / Brazil / Sao Paulo / Ribeirao Preto
EPI_ISL_17673398	1990	2003-05-27	South America / Brazil / Sao Paulo / Ribeirao Preto
EPI_ISL_17673399	1990	2003-05-27	South America / Brazil / Sao Paulo / Ribeirao Preto
EPI_ISL_17673403	1990	2003-05-27	South America / Brazil / Sao Paulo / Ribeirao Preto
EPI_ISL_17673404	1990	2003-05-27	South America / Brazil / Sao Paulo / Ribeirao Preto
EPI_ISL_17673405	1990	2003-05-27	South America / Brazil / Sao Paulo / Ribeirao Preto
EPI_ISL_17673406	1990	2003-05-27	South America / Brazil / Sao Paulo / Ribeirao Preto
EPI_ISL_17673407	1990	2003-05-27	South America / Brazil / Sao Paulo / Ribeirao Preto
EPI_ISL_17673408	1990	2003-05-27	South America / Brazil / Sao Paulo / Ribeirao Preto
EPI_ISL_17673409	1990	2003-05-27	South America / Brazil / Sao Paulo / Ribeirao Preto
EPI_ISL_17673410	1990	2003-05-27	South America / Brazil / Sao Paulo / Ribeirao Preto
EPI_ISL_17673411	1990	2003-05-27	South America / Brazil / Sao Paulo / Ribeirao Preto
EPI_ISL_17673412	1990	2003-05-27	South America / Brazil / Sao Paulo / Ribeirao Preto
EPI_ISL_17673413	1990	2003-05-27	South America / Brazil / Sao Paulo / Ribeirao Preto
EPI_ISL_17673414	1990	2003-05-27	South America / Brazil / Sao Paulo / Ribeirao Preto
EPI_ISL_17673415	1990	2003-05-27	South America / Brazil / Sao Paulo / Ribeirao Preto
EPI_ISL_17673416	1990	2003-05-27	South America / Brazil / Sao Paulo / Santos
EPI_ISL_17673417	1990	2003-05-27	South America / Brazil / Sao Paulo / Santos
EPI_ISL_17673418	1990	2003-05-27	South America / Brazil / Sao Paulo / Santos
EPI_ISL_17673419	1990	2003-05-27	South America / Brazil / Sao Paulo / Santos
EPI_ISL_17673420	1990	2003-05-27	South America / Brazil / Sao Paulo / Santos
EPI_ISL_17673421	1990	2003-05-27	South America / Brazil / Sao Paulo / Santos
EPI_ISL_17673422	1990	2003-05-27	South America / Brazil / Sao Paulo / Santos
EPI_ISL_17673423	1990	2003-05-27	South America / Brazil / Sao Paulo / Santos
EPI_ISL_17673424	1990	2003-05-27	South America / Brazil / Sao Paulo / Santos
EPI_ISL_17673425	1990	2003-05-27	South America / Brazil / Sao Paulo / Santos
EPI_ISL_17673426	1990	2003-05-27	South America / Brazil / Sao Paulo / Campinas
EPI_ISL_17673427	1990	2003-05-27	South America / Brazil / Sao Paulo / Campinas
EPI_ISL_17673428	1990	2003-05-27	South America / Brazil / Sao Paulo / Campinas
EPI_ISL_17673429	1990	2003-05-27	South America / Brazil / Sao Paulo / Campinas
EPI_ISL_17673430	1990	2003-05-27	South America / Brazil / Sao Paulo / Campinas
