Accession ID	Collection date	Submission date	Location
EPI_ISL_18485716	2023-05-08	2023-11-09	South America / Brazil / Sao Paulo / Quata
EPI_ISL_18485717	2023-06-13	2023-11-09	South America / Brazil / Sao Paulo / Aracatuba
EPI_ISL_18485718	2023-06-13	2023-11-09	South America / Brazil / Sao Paulo / Maua
EPI_ISL_18485719	2023-06-15	2023-11-09	South America / Brazil / Sao Paulo / Rio Claro
EPI_ISL_18485721	2023-06-07	2023-11-09	South America / Brazil / Sao Paulo / Guaruja
EPI_ISL_18485722	2023-06-22	2023-11-09	South America / Brazil / Sao Paulo / Jundiai
EPI_ISL_18485723	2023-07-03	2023-11-09	South America / Brazil / Sao Paulo / Bauru
EPI_ISL_18485726	2023-07-18	2023-11-09	South America / Brazil / Sao Paulo / Carapicuiba
EPI_ISL_18485727	2023-08-10	2023-11-09	South America / Brazil / Sao Paulo / Aracatuba
EPI_ISL_18485728	2023-08-23	2023-11-09	South America / Brazil / Sao Paulo / Santos
EPI_ISL_18485729	2023-08-17	2023-11-09	South America / Brazil / Sao Paulo / Guaratingueta
EPI_ISL_18485730	2023-05-15	2023-11-09	South America / Brazil / Sao Paulo / Assis
EPI_ISL_18485731	2023-05-16	2023-11-09	South America / Brazil / Sao Paulo / Iepe
EPI_ISL_18485732	2023-04-03	2023-11-09	South America / Brazil / Sao Paulo / Coronel Macedo
EPI_ISL_18485734	2023-05-19	2023-11-09	South America / Brazil / Sao Paulo / Lencois Paulista
EPI_ISL_18485735	2023-05-22	2023-11-09	South America / Brazil / Sao Paulo / Herculandia
EPI_ISL_18485736	2023-05-18	2023-11-09	South America / Brazil / Sao Paulo / Bertioga
EPI_ISL_18485737	2023-05-30	2023-11-09	South America / Brazil / Sao Paulo / Morro Agudo
EPI_ISL_18485738	2023-06-02	2023-11-09	South America / Brazil / Sao Paulo / Santa Cruz Do Rio Pardo
EPI_ISL_18485739	2023-05-27	2023-11-09	South America / Brazil / Sao Paulo / Praia Grande
EPI_ISL_18485740	2023-05-31	2023-11-09	South America / Brazil / Sao Paulo / Sao Carlos
EPI_ISL_18485741	2023-06-23	2023-11-09	South America / Brazil / Sao Paulo / Jaboticabal
EPI_ISL_18485742	2023-06-22	2023-11-09	South America / Brazil / Sao Paulo / Tremembe
EPI_ISL_18485745	2023-08-12	2023-11-09	South America / Brazil / Sao Paulo / Ribeirao Preto
EPI_ISL_18485746	2023-05-04	2023-11-09	South America / Brazil / Sao Paulo / Itaquaquecetuba
EPI_ISL_18485747	2023-06-22	2023-11-09	South America / Brazil / Sao Paulo / Pirassununga
EPI_ISL_18485748	2023-05-15	2023-11-09	South America / Brazil / Sao Paulo / Guarulhos
EPI_ISL_18485750	2023-08-10	2023-11-09	South America / Brazil / Sao Paulo / Peruibe
EPI_ISL_18485751	2023-08-14	2023-11-09	South America / Brazil / Sao Paulo / Itapeva
EPI_ISL_18485753	2023-07-22	2023-11-09	South America / Brazil / Sao Paulo / Sao Paulo
EPI_ISL_18542103	2023-11-09	2023-11-24	South America / Brazil / Sao Paulo / Votuporanga
EPI_ISL_18679912	2023-09-01	2023-12-23	South America / Brazil / Sao Paulo / Guaratingueta
EPI_ISL_18679913	2023-09-11	2023-12-23	South America / Brazil / Sao Paulo / Guararapes
EPI_ISL_18679914	2023-10-04	2023-12-23	South America / Brazil / Sao Paulo / Caraguatatuba
EPI_ISL_18679915	2023-10-05	2023-12-23	South America / Brazil / Sao Paulo / Guarulhos
EPI_ISL_18679916	2023-10-16	2023-12-23	South America / Brazil / Sao Paulo / Guaruja
EPI_ISL_18679917	2023-10-28	2023-12-23	South America / Brazil / Sao Paulo / Sorocaba
EPI_ISL_18679918	2023-09-20	2023-12-23	South America / Brazil / Sao Paulo / Tupa
EPI_ISL_18679919	2023-10-24	2023-12-23	South America / Brazil / Sao Paulo / Caraguatatuba
EPI_ISL_18679920	2023-11-07	2023-12-23	South America / Brazil / Sao Paulo / Bauru
EPI_ISL_18679921	2023-11-11	2023-12-23	South America / Brazil / Sao Paulo / Catanduva
EPI_ISL_18679922	2023-10-04	2023-12-23	South America / Brazil / Sao Paulo / Palmares Paulista
EPI_ISL_18679923	2023-11-14	2023-12-23	South America / Brazil / Sao Paulo / Fernandopolis
EPI_ISL_18679924	2023-07-31	2023-12-23	South America / Brazil / Sao Paulo / Ribeirao Preto
EPI_ISL_18679925	2023-08-08	2023-12-23	South America / Brazil / Sao Paulo / Colombia
EPI_ISL_18679926	2023-08-09	2023-12-23	South America / Brazil / Sao Paulo / Ribeirao Preto
EPI_ISL_18679927	2023-11-28	2023-12-23	South America / Brazil / Sao Paulo / Sao Jose da Bela Vista
EPI_ISL_18679928	2023-11-21	2023-12-23	South America / Brazil / Sao Paulo / Guaruja
EPI_ISL_18679929	2023-11-14	2023-12-23	South America / Brazil / Sao Paulo / Caraguatatuba
EPI_ISL_18679930	2023-11-22	2023-12-23	South America / Brazil / Sao Paulo / Marilia
EPI_ISL_18679931	2023-11-27	2023-12-23	South America / Brazil / Sao Paulo / Tatui
EPI_ISL_18679932	2023-08-22	2023-12-23	South America / Brazil / Sao Paulo / Monte Azul Paulista
EPI_ISL_18679933	2023-09-26	2023-12-23	South America / Brazil / Sao Paulo / Monte Azul Paulista
EPI_ISL_18679934	2023-10-16	2023-12-23	South America / Brazil / Sao Paulo / Monte Azul Paulista
EPI_ISL_18679935	2023-11-08	2023-12-23	South America / Brazil / Sao Paulo / Batatais
EPI_ISL_18679937	2023-10-05	2023-12-23	South America / Brazil / Sao Paulo / Bebedouro
EPI_ISL_18739789	2021-05-29	2024-01-09	South America / Brazil / Sao Paulo
EPI_ISL_18739790	2021-02-15	2024-01-09	South America / Brazil / Sao Paulo
EPI_ISL_18739791	2021-03-09	2024-01-09	South America / Brazil / Sao Paulo
EPI_ISL_18739792	2021-04-13	2024-01-09	South America / Brazil / Sao Paulo
EPI_ISL_18739793	2021-04-18	2024-01-09	South America / Brazil / Sao Paulo
EPI_ISL_18739794	2021-04-23	2024-01-09	South America / Brazil / Sao Paulo
EPI_ISL_18739795	2021-04-24	2024-01-09	South America / Brazil / Sao Paulo
EPI_ISL_18739796	2021-05-11	2024-01-09	South America / Brazil / Sao Paulo
EPI_ISL_18739797	2021-03-13	2024-01-09	South America / Brazil / Sao Paulo
EPI_ISL_18739798	2021-03-15	2024-01-09	South America / Brazil / Sao Paulo
EPI_ISL_18739799	2021-03-22	2024-01-09	South America / Brazil / Sao Paulo
EPI_ISL_18739800	2021-04-22	2024-01-09	South America / Brazil / Sao Paulo
EPI_ISL_18739801	2021-04-22	2024-01-09	South America / Brazil / Sao Paulo
EPI_ISL_18739802	2021-06-16	2024-01-09	South America / Brazil / Sao Paulo
EPI_ISL_18739803	2021-03-07	2024-01-09	South America / Brazil / Sao Paulo
EPI_ISL_18739804	2021-03-08	2024-01-09	South America / Brazil / Sao Paulo
EPI_ISL_18739805	2021-03-24	2024-01-09	South America / Brazil / Sao Paulo
EPI_ISL_18739806	2021-03-25	2024-01-09	South America / Brazil / Sao Paulo
EPI_ISL_18739807	2021-03-27	2024-01-09	South America / Brazil / Sao Paulo
EPI_ISL_18739808	2021-03-27	2024-01-09	South America / Brazil / Sao Paulo
EPI_ISL_18739809	2021-03-31	2024-01-09	South America / Brazil / Sao Paulo
EPI_ISL_18739810	2021-03-30	2024-01-09	South America / Brazil / Sao Paulo
EPI_ISL_18739811	2021-04-03	2024-01-09	South America / Brazil / Sao Paulo
EPI_ISL_18739812	2021-04-02	2024-01-09	South America / Brazil / Sao Paulo
EPI_ISL_18739813	2021-03-31	2024-01-09	South America / Brazil / Sao Paulo
EPI_ISL_18739814	2021-04-04	2024-01-09	South America / Brazil / Sao Paulo
EPI_ISL_18739815	2021-04-05	2024-01-09	South America / Brazil / Sao Paulo
EPI_ISL_18739816	2021-04-07	2024-01-09	South America / Brazil / Sao Paulo
EPI_ISL_18739817	2021-04-06	2024-01-09	South America / Brazil / Sao Paulo
EPI_ISL_18739818	2021-04-07	2024-01-09	South America / Brazil / Sao Paulo
EPI_ISL_18739819	2021-04-07	2024-01-09	South America / Brazil / Sao Paulo
EPI_ISL_18739820	2021-04-08	2024-01-09	South America / Brazil / Sao Paulo
EPI_ISL_18739821	2021-04-08	2024-01-09	South America / Brazil / Sao Paulo
EPI_ISL_18739822	2021-04-10	2024-01-09	South America / Brazil / Sao Paulo
EPI_ISL_18739823	2021-04-10	2024-01-09	South America / Brazil / Sao Paulo
EPI_ISL_18739824	2021-04-12	2024-01-09	South America / Brazil / Sao Paulo
EPI_ISL_18739825	2021-04-09	2024-01-09	South America / Brazil / Sao Paulo
EPI_ISL_18739826	2021-04-12	2024-01-09	South America / Brazil / Sao Paulo
EPI_ISL_18739827	2021-04-13	2024-01-09	South America / Brazil / Sao Paulo
EPI_ISL_18739828	2021-04-13	2024-01-09	South America / Brazil / Sao Paulo
EPI_ISL_18739829	2021-04-13	2024-01-09	South America / Brazil / Sao Paulo
EPI_ISL_18739830	2021-04-12	2024-01-09	South America / Brazil / Sao Paulo
EPI_ISL_18739831	2021-04-14	2024-01-09	South America / Brazil / Sao Paulo
EPI_ISL_18739832	2021-04-14	2024-01-09	South America / Brazil / Sao Paulo
EPI_ISL_18739833	2021-04-14	2024-01-09	South America / Brazil / Sao Paulo
EPI_ISL_18739834	2021-04-15	2024-01-09	South America / Brazil / Sao Paulo
EPI_ISL_18739835	2021-04-15	2024-01-09	South America / Brazil / Sao Paulo
EPI_ISL_18739836	2021-04-15	2024-01-09	South America / Brazil / Sao Paulo
EPI_ISL_18739837	2021-04-15	2024-01-09	South America / Brazil / Sao Paulo
EPI_ISL_18739838	2021-04-18	2024-01-09	South America / Brazil / Sao Paulo
EPI_ISL_18739839	2021-04-16	2024-01-09	South America / Brazil / Sao Paulo
EPI_ISL_18739840	2021-04-19	2024-01-09	South America / Brazil / Sao Paulo
EPI_ISL_18739841	2021-04-15	2024-01-09	South America / Brazil / Sao Paulo
EPI_ISL_18739842	2021-04-17	2024-01-09	South America / Brazil / Sao Paulo
EPI_ISL_18739843	2021-04-21	2024-01-09	South America / Brazil / Sao Paulo
EPI_ISL_18739844	2021-05-06	2024-01-09	South America / Brazil / Sao Paulo
EPI_ISL_18739845	2021-03-14	2024-01-09	South America / Brazil / Sao Paulo
EPI_ISL_18739846	2021-03-13	2024-01-09	South America / Brazil / Sao Paulo
EPI_ISL_18739847	2021-04-03	2024-01-09	South America / Brazil / Sao Paulo
EPI_ISL_18739848	2021-04-08	2024-01-09	South America / Brazil / Sao Paulo
EPI_ISL_18739849	2021-04-08	2024-01-09	South America / Brazil / Sao Paulo
EPI_ISL_18739850	2021-04-19	2024-01-09	South America / Brazil / Sao Paulo
EPI_ISL_18739851	2021-04-24	2024-01-09	South America / Brazil / Sao Paulo
EPI_ISL_18739852	2021-04-24	2024-01-09	South America / Brazil / Sao Paulo
EPI_ISL_18739853	2021-05-07	2024-01-09	South America / Brazil / Sao Paulo
EPI_ISL_18739854	2021-05-13	2024-01-09	South America / Brazil / Sao Paulo
EPI_ISL_18739855	2021-05-19	2024-01-09	South America / Brazil / Sao Paulo
EPI_ISL_18739856	2021-06-10	2024-01-09	South America / Brazil / Sao Paulo
EPI_ISL_18739857	2022-04-16	2024-01-09	South America / Brazil / Sao Paulo
EPI_ISL_18739858	2022-03-30	2024-01-09	South America / Brazil / Sao Paulo
EPI_ISL_18739859	2022-03-03	2024-01-09	South America / Brazil / Sao Paulo
EPI_ISL_18739860	2022-04-17	2024-01-09	South America / Brazil / Sao Paulo
EPI_ISL_18739861	2022-04-11	2024-01-09	South America / Brazil / Sao Paulo
EPI_ISL_18739862	2022-04-11	2024-01-09	South America / Brazil / Sao Paulo
EPI_ISL_18739863	2022-03-20	2024-01-09	South America / Brazil / Sao Paulo
EPI_ISL_18739864	2022-05-16	2024-01-09	South America / Brazil / Sao Paulo
EPI_ISL_18739865	2022-05-08	2024-01-09	South America / Brazil / Sao Paulo
EPI_ISL_18739866	2022-05-01	2024-01-09	South America / Brazil / Sao Paulo
EPI_ISL_18739867	2022-05-24	2024-01-09	South America / Brazil / Sao Paulo
EPI_ISL_18739868	2022-05-22	2024-01-09	South America / Brazil / Sao Paulo
EPI_ISL_18739869	2022-05-16	2024-01-09	South America / Brazil / Sao Paulo
EPI_ISL_18739870	2022-05-17	2024-01-09	South America / Brazil / Sao Paulo
EPI_ISL_18739871	2022-05-17	2024-01-09	South America / Brazil / Sao Paulo
EPI_ISL_18739872	2022-05-14	2024-01-09	South America / Brazil / Sao Paulo
EPI_ISL_18739873	2022-05-12	2024-01-09	South America / Brazil / Sao Paulo
EPI_ISL_18739874	2022-05-11	2024-01-09	South America / Brazil / Sao Paulo
EPI_ISL_18739875	2022-05-06	2024-01-09	South America / Brazil / Sao Paulo
EPI_ISL_18739876	2022-05-11	2024-01-09	South America / Brazil / Sao Paulo
EPI_ISL_18739877	2022-05-10	2024-01-09	South America / Brazil / Sao Paulo
EPI_ISL_18739878	2022-05-10	2024-01-09	South America / Brazil / Sao Paulo
EPI_ISL_18739879	2022-05-09	2024-01-09	South America / Brazil / Sao Paulo
EPI_ISL_18739880	2022-05-09	2024-01-09	South America / Brazil / Sao Paulo
EPI_ISL_18739881	2022-05-09	2024-01-09	South America / Brazil / Sao Paulo
EPI_ISL_18739882	2022-05-09	2024-01-09	South America / Brazil / Sao Paulo
EPI_ISL_18739883	2022-05-08	2024-01-09	South America / Brazil / Sao Paulo
EPI_ISL_18739884	2022-05-08	2024-01-09	South America / Brazil / Sao Paulo
EPI_ISL_18739885	2022-05-06	2024-01-09	South America / Brazil / Sao Paulo
EPI_ISL_18739886	2022-05-04	2024-01-09	South America / Brazil / Sao Paulo
EPI_ISL_18739887	2022-04-30	2024-01-09	South America / Brazil / Sao Paulo
EPI_ISL_18739888	2022-05-04	2024-01-09	South America / Brazil / Sao Paulo
EPI_ISL_18739889	2022-05-04	2024-01-09	South America / Brazil / Sao Paulo
EPI_ISL_18739890	2022-05-02	2024-01-09	South America / Brazil / Sao Paulo
EPI_ISL_18739891	2022-05-03	2024-01-09	South America / Brazil / Sao Paulo
EPI_ISL_18739892	2022-05-02	2024-01-09	South America / Brazil / Sao Paulo
EPI_ISL_18739893	2022-04-29	2024-01-09	South America / Brazil / Sao Paulo
EPI_ISL_18739894	2022-05-01	2024-01-09	South America / Brazil / Sao Paulo
EPI_ISL_18739895	2022-04-30	2024-01-09	South America / Brazil / Sao Paulo
EPI_ISL_18739896	2022-04-22	2024-01-09	South America / Brazil / Sao Paulo
EPI_ISL_18739897	2022-04-22	2024-01-09	South America / Brazil / Sao Paulo
EPI_ISL_18739898	2022-04-24	2024-01-09	South America / Brazil / Sao Paulo
EPI_ISL_18739899	2023-03-25	2024-01-09	South America / Brazil / Sao Paulo
EPI_ISL_18739900	2023-03-20	2024-01-09	South America / Brazil / Sao Paulo
EPI_ISL_18739901	2023-03-20	2024-01-09	South America / Brazil / Sao Paulo
EPI_ISL_18739902	2023-03-20	2024-01-09	South America / Brazil / Sao Paulo
EPI_ISL_18739903	2023-03-17	2024-01-09	South America / Brazil / Sao Paulo
EPI_ISL_18739904	2023-03-14	2024-01-09	South America / Brazil / Sao Paulo
EPI_ISL_18739905	2023-03-14	2024-01-09	South America / Brazil / Sao Paulo
EPI_ISL_18739906	2023-03-14	2024-01-09	South America / Brazil / Sao Paulo
EPI_ISL_18739907	2023-03-13	2024-01-09	South America / Brazil / Sao Paulo
EPI_ISL_18739908	2023-03-13	2024-01-09	South America / Brazil / Sao Paulo
EPI_ISL_18739909	2023-04-03	2024-01-09	South America / Brazil / Sao Paulo
EPI_ISL_18739910	2023-04-10	2024-01-09	South America / Brazil / Sao Paulo
EPI_ISL_18739911	2023-04-11	2024-01-09	South America / Brazil / Sao Paulo
EPI_ISL_18739912	2023-04-09	2024-01-09	South America / Brazil / Sao Paulo
EPI_ISL_18739913	2023-04-09	2024-01-09	South America / Brazil / Sao Paulo
EPI_ISL_18739914	2023-04-16	2024-01-09	South America / Brazil / Sao Paulo
EPI_ISL_18739915	2023-04-14	2024-01-09	South America / Brazil / Sao Paulo
EPI_ISL_18739916	2023-04-18	2024-01-09	South America / Brazil / Sao Paulo
EPI_ISL_18739917	2023-04-18	2024-01-09	South America / Brazil / Sao Paulo
EPI_ISL_18739918	2023-01-08	2024-01-09	South America / Brazil / Sao Paulo
EPI_ISL_18739919	2023-01-09	2024-01-09	South America / Brazil / Sao Paulo
EPI_ISL_18739920	2023-01-25	2024-01-09	South America / Brazil / Sao Paulo
EPI_ISL_18739921	2023-01-30	2024-01-09	South America / Brazil / Sao Paulo
EPI_ISL_18739922	2023-01-31	2024-01-09	South America / Brazil / Sao Paulo
EPI_ISL_18739923	2023-02-01	2024-01-09	South America / Brazil / Sao Paulo
EPI_ISL_18739924	2023-02-03	2024-01-09	South America / Brazil / Sao Paulo
EPI_ISL_18739925	2023-02-07	2024-01-09	South America / Brazil / Sao Paulo
EPI_ISL_18739926	2023-02-09	2024-01-09	South America / Brazil / Sao Paulo
EPI_ISL_18739927	2023-02-14	2024-01-09	South America / Brazil / Sao Paulo
EPI_ISL_18739928	2023-02-15	2024-01-09	South America / Brazil / Sao Paulo
EPI_ISL_18739929	2023-02-15	2024-01-09	South America / Brazil / Sao Paulo
EPI_ISL_18739930	2023-02-15	2024-01-09	South America / Brazil / Sao Paulo
EPI_ISL_18739931	2023-03-01	2024-01-09	South America / Brazil / Sao Paulo
EPI_ISL_18739932	2023-03-03	2024-01-09	South America / Brazil / Sao Paulo
EPI_ISL_18739933	2023-03-03	2024-01-09	South America / Brazil / Sao Paulo
EPI_ISL_18739934	2023-03-05	2024-01-09	South America / Brazil / Sao Paulo
EPI_ISL_18739935	2023-03-07	2024-01-09	South America / Brazil / Sao Paulo
EPI_ISL_18739936	2023-03-06	2024-01-09	South America / Brazil / Sao Paulo
EPI_ISL_18739937	2023-03-08	2024-01-09	South America / Brazil / Sao Paulo
EPI_ISL_18739938	2023-03-08	2024-01-09	South America / Brazil / Sao Paulo
EPI_ISL_18739939	2023-03-10	2024-01-09	South America / Brazil / Sao Paulo
EPI_ISL_18739940	2023-03-11	2024-01-09	South America / Brazil / Sao Paulo
EPI_ISL_18739941	2023-03-11	2024-01-09	South America / Brazil / Sao Paulo
EPI_ISL_18739942	2023-03-11	2024-01-09	South America / Brazil / Sao Paulo
EPI_ISL_18739943	2023-03-11	2024-01-09	South America / Brazil / Sao Paulo
EPI_ISL_18739944	2023-03-12	2024-01-09	South America / Brazil / Sao Paulo
EPI_ISL_18739945	2023-03-13	2024-01-09	South America / Brazil / Sao Paulo
EPI_ISL_18739946	2023-03-14	2024-01-09	South America / Brazil / Sao Paulo
EPI_ISL_18739947	2023-05-08	2024-01-09	South America / Brazil / Sao Paulo
EPI_ISL_18739948	2023-05-07	2024-01-09	South America / Brazil / Sao Paulo
EPI_ISL_18739949	2023-05-08	2024-01-09	South America / Brazil / Sao Paulo
EPI_ISL_18739950	2023-05-07	2024-01-09	South America / Brazil / Sao Paulo
EPI_ISL_18739951	2023-04-24	2024-01-09	South America / Brazil / Sao Paulo
EPI_ISL_18739952	2023-04-24	2024-01-09	South America / Brazil / Sao Paulo
EPI_ISL_18739953	2023-05-22	2024-01-09	South America / Brazil / Sao Paulo
EPI_ISL_18739954	2023-05-22	2024-01-09	South America / Brazil / Sao Paulo
EPI_ISL_18739955	2023-05-22	2024-01-09	South America / Brazil / Sao Paulo
EPI_ISL_18739956	2023-04-01	2024-01-09	South America / Brazil / Sao Paulo
EPI_ISL_18739957	2023-04-01	2024-01-09	South America / Brazil / Sao Paulo
EPI_ISL_18739958	2023-03-28	2024-01-09	South America / Brazil / Sao Paulo
EPI_ISL_18739959	2023-03-28	2024-01-09	South America / Brazil / Sao Paulo
EPI_ISL_18739960	2023-03-24	2024-01-09	South America / Brazil / Sao Paulo
EPI_ISL_18739961	2023-03-20	2024-01-09	South America / Brazil / Sao Paulo
EPI_ISL_18739962	2023-04-23	2024-01-09	South America / Brazil / Sao Paulo
EPI_ISL_18739963	2023-04-23	2024-01-09	South America / Brazil / Sao Paulo
EPI_ISL_18739964	2023-04-17	2024-01-09	South America / Brazil / Sao Paulo
EPI_ISL_18739965	2023-04-09	2024-01-09	South America / Brazil / Sao Paulo
EPI_ISL_18739966	2023-04-09	2024-01-09	South America / Brazil / Sao Paulo
EPI_ISL_18739967	2023-04-06	2024-01-09	South America / Brazil / Sao Paulo
EPI_ISL_18739968	2023-04-05	2024-01-09	South America / Brazil / Sao Paulo
EPI_ISL_18739969	2023-04-01	2024-01-09	South America / Brazil / Sao Paulo
EPI_ISL_18739970	2023-04-29	2024-01-09	South America / Brazil / Sao Paulo
EPI_ISL_18739971	2023-08-30	2024-01-09	South America / Brazil / Sao Paulo
EPI_ISL_18739972	2023-02-25	2024-01-09	South America / Brazil / Sao Paulo
EPI_ISL_18739973	2023-03-04	2024-01-09	South America / Brazil / Sao Paulo
EPI_ISL_18739974	2023-03-04	2024-01-09	South America / Brazil / Sao Paulo
EPI_ISL_18739975	2023-03-06	2024-01-09	South America / Brazil / Sao Paulo
EPI_ISL_18755964	2023-12-25	2024-01-12	South America / Brazil / Sao Paulo / Sao Paulo
EPI_ISL_18840188	2023-03-23	2024-01-30	South America / Brazil / Sao Paulo
EPI_ISL_18840189	2023-03-21	2024-01-30	South America / Brazil / Sao Paulo
EPI_ISL_18840190	2023-03-15	2024-01-30	South America / Brazil / Sao Paulo
EPI_ISL_18840191	2023-03-15	2024-01-30	South America / Brazil / Sao Paulo
EPI_ISL_18840192	2023-03-14	2024-01-30	South America / Brazil / Sao Paulo
EPI_ISL_18840193	2023-03-08	2024-01-30	South America / Brazil / Sao Paulo
EPI_ISL_18840194	2023-03-07	2024-01-30	South America / Brazil / Sao Paulo
EPI_ISL_18840195	2023-03-06	2024-01-30	South America / Brazil / Sao Paulo
EPI_ISL_18840196	2023-03-06	2024-01-30	South America / Brazil / Sao Paulo
EPI_ISL_18840197	2023-03-01	2024-01-30	South America / Brazil / Sao Paulo
EPI_ISL_18840198	2023-02-28	2024-01-30	South America / Brazil / Sao Paulo
EPI_ISL_18840199	2023-02-28	2024-01-30	South America / Brazil / Sao Paulo
EPI_ISL_18840200	2023-02-28	2024-01-30	South America / Brazil / Sao Paulo
EPI_ISL_18840201	2023-02-27	2024-01-30	South America / Brazil / Sao Paulo
EPI_ISL_18840202	2023-01-05	2024-01-30	South America / Brazil / Sao Paulo
EPI_ISL_18840203	2023-03-21	2024-01-30	South America / Brazil / Sao Paulo
EPI_ISL_18840204	2023-03-13	2024-01-30	South America / Brazil / Sao Paulo
EPI_ISL_18840205	2023-02-27	2024-01-30	South America / Brazil / Sao Paulo
EPI_ISL_18840206	2023-02-16	2024-01-30	South America / Brazil / Sao Paulo
EPI_ISL_18840207	2023-03-15	2024-01-30	South America / Brazil / Sao Paulo
EPI_ISL_18840208	2023-03-08	2024-01-30	South America / Brazil / Sao Paulo
EPI_ISL_18840209	2023-03-08	2024-01-30	South America / Brazil / Sao Paulo
EPI_ISL_18840210	2023-03-07	2024-01-30	South America / Brazil / Sao Paulo
EPI_ISL_18840211	2023	2024-01-30	South America / Brazil / Sao Paulo
EPI_ISL_18840212	2023	2024-01-30	South America / Brazil / Sao Paulo
EPI_ISL_18840213	2023	2024-01-30	South America / Brazil / Sao Paulo
EPI_ISL_18840214	2023	2024-01-30	South America / Brazil / Sao Paulo
EPI_ISL_18840215	2023	2024-01-30	South America / Brazil / Sao Paulo
EPI_ISL_18840216	2023	2024-01-30	South America / Brazil / Sao Paulo
EPI_ISL_18840217	2023	2024-01-30	South America / Brazil / Sao Paulo
EPI_ISL_18840218	2023	2024-01-30	South America / Brazil / Sao Paulo
EPI_ISL_18840219	2023-04-26	2024-01-30	South America / Brazil / Sao Paulo
EPI_ISL_18840220	2023-04-26	2024-01-30	South America / Brazil / Sao Paulo
EPI_ISL_18840221	2023-04-26	2024-01-30	South America / Brazil / Sao Paulo
EPI_ISL_18840222	2023-04-25	2024-01-30	South America / Brazil / Sao Paulo
EPI_ISL_18840223	2023-04-19	2024-01-30	South America / Brazil / Sao Paulo
EPI_ISL_18840224	2023-04-19	2024-01-30	South America / Brazil / Sao Paulo
EPI_ISL_18840225	2023-04-18	2024-01-30	South America / Brazil / Sao Paulo
EPI_ISL_18840226	2023-04-17	2024-01-30	South America / Brazil / Sao Paulo
EPI_ISL_18840227	2023-04-17	2024-01-30	South America / Brazil / Sao Paulo
EPI_ISL_18840228	2023-04-11	2024-01-30	South America / Brazil / Sao Paulo
EPI_ISL_18840229	2023-04-11	2024-01-30	South America / Brazil / Sao Paulo
EPI_ISL_18840230	2023-03-27	2024-01-30	South America / Brazil / Sao Paulo
EPI_ISL_18840231	2023-03-27	2024-01-30	South America / Brazil / Sao Paulo
EPI_ISL_18840232	2023-04-10	2024-01-30	South America / Brazil / Sao Paulo
EPI_ISL_18840233	2023-04-04	2024-01-30	South America / Brazil / Sao Paulo
EPI_ISL_18840234	2023-04-03	2024-01-30	South America / Brazil / Sao Paulo
EPI_ISL_18840235	2023-03-28	2024-01-30	South America / Brazil / Sao Paulo
EPI_ISL_18840236	2023-03-23	2024-01-30	South America / Brazil / Sao Paulo
EPI_ISL_18840237	2023-03-22	2024-01-30	South America / Brazil / Sao Paulo
EPI_ISL_18840238	2023-03-01	2024-01-30	South America / Brazil / Sao Paulo
EPI_ISL_18840239	2023-02-28	2024-01-30	South America / Brazil / Sao Paulo
EPI_ISL_18840240	2023-02-23	2024-01-30	South America / Brazil / Sao Paulo
EPI_ISL_18840241	2023-02-14	2024-01-30	South America / Brazil / Sao Paulo
EPI_ISL_18840242	2023-04-03	2024-01-30	South America / Brazil / Sao Paulo
EPI_ISL_18870969	2023-11-14	2024-02-07	South America / Brazil / Sao Paulo / Pindamonhangaba
EPI_ISL_18870970	2023-11-27	2024-02-07	South America / Brazil / Sao Paulo / Marilia
EPI_ISL_18870971	2023-12-04	2024-02-07	South America / Brazil / Sao Paulo / Taubate
EPI_ISL_18870972	2023-12-01	2024-02-07	South America / Brazil / Sao Paulo / Campinas
EPI_ISL_18870973	2023-12-01	2024-02-07	South America / Brazil / Sao Paulo / Campinas
EPI_ISL_18870974	2023-12-12	2024-02-07	South America / Brazil / Sao Paulo / Jau
EPI_ISL_18870975	2023-12-12	2024-02-07	South America / Brazil / Sao Paulo / Getulina
EPI_ISL_18870977	2023-11-29	2024-02-07	South America / Brazil / Sao Paulo / Tupa
EPI_ISL_18870978	2023-12-17	2024-02-07	South America / Brazil / Sao Paulo / Taubate
EPI_ISL_18870979	2023-12-19	2024-02-07	South America / Brazil / Sao Paulo / Tremembe
EPI_ISL_18870980	2023-12-13	2024-02-07	South America / Brazil / Sao Paulo / Pederneiras
EPI_ISL_18870981	2023-12-13	2024-02-07	South America / Brazil / Sao Paulo / Pederneiras
EPI_ISL_18870982	2023-12-20	2024-02-07	South America / Brazil / Sao Paulo / Sao Paulo
EPI_ISL_18870983	2023-12-19	2024-02-07	South America / Brazil / Sao Paulo / Campinas
EPI_ISL_18870984	2023-12-25	2024-02-07	South America / Brazil / Sao Paulo / Taubate
EPI_ISL_18870985	2023-12-26	2024-02-07	South America / Brazil / Sao Paulo / Caraguatatuba
EPI_ISL_18870987	2023-12-27	2024-02-07	South America / Brazil / Sao Paulo / General Salgado
EPI_ISL_18870988	2023-12-15	2024-02-07	South America / Brazil / Sao Paulo / Brodowski
EPI_ISL_18870989	2023-12-11	2024-02-07	South America / Brazil / Sao Paulo / Jacarei
EPI_ISL_18870990	2023-12-28	2024-02-07	South America / Brazil / Sao Paulo / Guarulhos
EPI_ISL_18870991	2024-01-02	2024-02-07	South America / Brazil / Sao Paulo / Sao Paulo
